danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,cluster
0.343,0.812,-6.438,0.0524,0.00766,0.0,0.403,0.198,135.527,51wLc5AyOg9P2AAOP9lkgl,169632,5
0.797,0.791,-6.281,0.33,0.119,0.0,0.113,0.828,138.026,7sJNeWTXkZCEC7OnFMpGWL,203560,4
0.841,0.551,-8.42,0.437,0.36,0.0,0.122,0.482,139.998,3xKcyp2MZb3yDsA6jyXT6g,261626,4
0.593,0.548,-7.154,0.266,0.425,0.000216,0.149,0.352,149.85,24AQ8wEGDSEzTI6KjriX0r,194876,4
0.271,0.165,-20.652,0.0351,0.729,1.6e-06,0.118,0.203,77.082,29U7stRjqHU6rMiS8BfaI9,139227,1
0.746,0.243,-15.134,0.123,0.829,1.02e-06,0.0905,0.425,118.578,6VTbbVjKOC2qWagIDbkJrC,215747,1
0.462,0.15,-13.531,0.0522,0.984,0.000902,0.105,0.19,98.66,30QD4VRP9yEneOh0eGTrtJ,207600,1
0.349,0.182,-13.507,0.031,0.92,0.0152,0.143,0.178,136.094,648TTtYB0bH0P8Hfy0FmkL,191973,1
0.664,0.194,-15.487,0.0357,0.909,3.85e-05,0.0829,0.443,129.863,3898C4AbdbptwYet6547e5,321827,1
0.262,0.356,-8.031,0.0303,0.613,0.0,0.175,0.426,174.176,2IdwQxhJn9ZE4zIotcCefR,187667,1
0.558,0.123,-10.396,0.0525,0.809,0.00121,0.0916,0.341,70.16,3yYfoYGVpriV4fG9L1ogsD,206333,1
